"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU113",221,488,268,86,32,46,41,63,54,84,370,167,158,82,57,235,181,49,35,111,163,313,400,53,32,62,176,44,31,47,352,219,149,67,72,51
"OTU110",67,137,61,23,22,24,62,46,48,59,112,50,88,112,59,89,61,25,25,79,84,142,126,65,30,133,354,33,26,40,373,362,163,69,32,34
"OTU111",8,2,19,79,107,74,3,0,0,0,0,0,11,1,1,17,55,112,229,0,1,1,1,102,155,24,12,206,322,18,0,0,0,0,4,0
"OTU1150",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"OTU118",14,11,49,91,67,75,88,295,121,53,43,52,60,156,287,10,110,143,127,90,108,23,16,131,20,22,2,27,34,102,8,10,29,31,52,123
"OTU119",19,18,15,7,5,3,16,6,7,9,20,14,112,68,3,145,123,13,5,97,100,148,224,36,1,20,12,8,9,24,16,14,17,23,13,16
"OTU286",29,23,41,18,21,20,43,31,43,54,56,43,24,37,31,16,22,20,16,53,36,23,9,26,10,16,13,6,11,40,13,19,17,22,12,22
"OTU287",0,1,4,14,17,56,61,69,38,1,3,5,1,4,20,1,4,11,12,2,2,7,0,16,0,0,0,0,1,1,0,0,0,0,0,0
"OTU284",7,17,10,2,2,0,6,1,3,7,12,11,13,9,4,41,12,1,1,4,15,17,21,3,3,14,64,0,0,5,44,47,18,7,1,8
"OTU285",16,13,37,16,6,6,33,27,16,16,21,8,71,94,58,25,93,35,25,81,66,37,23,66,20,135,40,24,42,112,53,29,22,17,41,126
"OTU282",11,16,19,26,30,41,80,127,65,42,43,34,0,0,1,0,0,3,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0
"OTU283",22,6,6,5,0,3,5,5,3,2,1,4,19,10,11,10,53,26,16,18,32,5,5,17,2,4,2,5,0,13,0,2,2,3,0,3
"OTU280",6,34,13,6,23,33,82,71,72,45,62,47,7,21,16,8,7,3,9,13,16,10,14,18,0,5,4,4,9,8,2,5,3,3,4,1
"OTU281",52,44,31,29,16,14,9,54,53,26,35,39,2,0,4,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
"OTU50",158,97,236,212,135,130,301,503,288,357,368,678,1,7,5,1,1,6,2,7,5,25,3,6,27,62,28,39,70,452,61,64,78,80,59,212
"OTU51",78,205,60,25,6,9,3,11,12,122,111,91,110,357,101,15,274,24,22,657,442,787,43,52,2,5,18,2,4,0,75,149,38,42,3,16
"OTU52",113,94,148,126,81,104,169,382,175,248,342,470,439,793,520,195,563,473,299,687,613,567,344,354,4,24,10,4,6,14,24,11,10,22,4,13
"OTU53",55,168,39,3,2,1,0,0,3,5,39,11,26,9,1,208,24,4,3,15,14,29,277,4,1,15,477,3,1,4,705,136,39,7,0,3
"OTU54",26,28,60,121,128,129,83,336,227,147,61,142,155,299,430,75,208,284,247,328,272,152,62,175,565,300,86,646,376,331,145,386,670,625,810,1004
"OTU55",439,234,293,296,73,55,15,48,90,120,191,224,2,0,0,0,2,1,0,0,1,4,1,1,2,2,4,3,2,1,0,2,0,1,0,0
"OTU288",0,2,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,40,3,2,0,60,18,7,1,2,2
"OTU289",7,5,6,1,0,1,3,0,3,1,0,1,34,10,5,63,19,13,7,28,19,25,16,12,1,2,1,0,0,0,0,0,0,1,0,0
"OTU1144",0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,2,0,0
"OTU628",29,12,8,14,7,4,9,5,3,4,6,8,11,4,5,7,7,5,9,3,6,14,27,18,2,6,3,1,0,2,2,1,1,0,2,2
